recording_id,species,scientific_name,country,location,quality,length_s,date,file_path
783767,Taiga Bean Goose,Anser fabalis,Poland,"Gmina Nysa (near  Nysa), Powiat nyski, Opolskie",A,1:11,2023-02-14,data\processed_wav\783767.wav
124506,Taiga Bean Goose,Anser fabalis,Poland,"Hańsk (near  Krychów), Włodawa County, Lublin Voivodeship",A,0:10,2013-03-10,data\processed_wav\124506.wav
124505,Taiga Bean Goose,Anser fabalis,Poland,"Hańsk (near  Krychów), Włodawa County, Lublin Voivodeship",A,3:02,2013-03-10,data\processed_wav\124505.wav
1087190,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Trzcianne (near  Barwik), Powiat moniecki, Podlaskie",A,5:01,2026-03-08,data\processed_wav\1087190.wav
1062362,Tundra Bean Goose,Anser serrirostris,Poland,"Mścichy, Gmina Radziłów, grajewski, podlaskie",A,0:14,2025-11-30,data\processed_wav\1062362.wav
1062361,Tundra Bean Goose,Anser serrirostris,Poland,"Mścichy, Gmina Radziłów, grajewski, podlaskie",A,0:37,2025-11-30,data\processed_wav\1062361.wav
1052459,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Przemków (near  Przemków), polkowicki, Dolnośląskie",A,0:17,2025-11-01,data\processed_wav\1052459.wav
975446,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Oborniki (near  Nowołoskoniec), Powiat obornicki, Województwo wielkopolskie",A,0:48,2025-02-16,data\processed_wav\975446.wav
870859,Tundra Bean Goose,Anser serrirostris,Poland,"rez. Wielki Bytyń, Gmina Tuczno (near  Nakielno), Wałcz County, West Pomeranian Voivodeship",A,2:00,2024-01-17,data\processed_wav\870859.wav
870858,Tundra Bean Goose,Anser serrirostris,Poland,"rez. Wielki Bytyń, Gmina Tuczno (near  Nakielno), Wałcz County, West Pomeranian Voivodeship",A,2:00,2024-01-16,data\processed_wav\870858.wav
870793,Tundra Bean Goose,Anser serrirostris,Poland,"rez. Wielki Bytyń, Gmina Tuczno (near  Nakielno), Wałcz County, West Pomeranian Voivodeship",A,1:14,2024-01-17,data\processed_wav\870793.wav
819951,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Góra (near  Nowa Wioska), Góra County, Lower Silesian Voivodeship",A,0:29,2023-01-22,data\processed_wav\819951.wav
727331,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Rydzyna (near  Tarnowałąka), leszczyński, Greater Poland Voivodeship",A,0:32,2022-02-12,data\processed_wav\727331.wav
633606,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Oborniki (near  Kiszewko), Oborniki County, Greater Poland Voivodeship",A,0:24,2021-03-09,data\processed_wav\633606.wav
624225,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Sieraków (near  Bucharzewo), międzychodzki, Wielkopolskie",A,0:20,2021-02-23,data\processed_wav\624225.wav
524292,Tundra Bean Goose,Anser serrirostris,Poland,"Otmuchow, Silesia",A,0:46,2019-10-25,data\processed_wav\524292.wav
524237,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Przemków (near  Przemków), polkowicki, Województwo dolnośląskie",A,0:26,2019-12-22,data\processed_wav\524237.wav
524236,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Przemków (near  Przemków), polkowicki, Województwo dolnośląskie",A,0:10,2019-12-22,data\processed_wav\524236.wav
524235,Tundra Bean Goose,Anser serrirostris,Poland,"Gmina Przemków (near  Przemków), polkowicki, Województwo dolnośląskie",A,0:49,2019-12-22,data\processed_wav\524235.wav
512335,Tundra Bean Goose,Anser serrirostris,Poland,"Dzwonowo Fish Pounds, Western Pomerania",A,0:17,2019-12-17,data\processed_wav\512335.wav
444241,Tundra Bean Goose,Anser serrirostris,Poland,"Mietków, Województwo dolnośląskie",A,0:22,2018-11-15,data\processed_wav\444241.wav
406813,Tundra Bean Goose,Anser serrirostris,Poland,"Dzwonowo Fish Pounds, Western Pomerania",A,0:19,2018-03-18,data\processed_wav\406813.wav
1087180,Greater White-fronted Goose,Anser albifrons,Poland,"Barwik, Biebrza NP, Gmina Trzcianne (near  Budy), moniecki, podlaskie",A,0:26,2026-03-09,data\processed_wav\1087180.wav
883759,Greater White-fronted Goose,Anser albifrons,Poland,"Gmina Augustów (near  Augustów), Augustów County, Podlaskie Voivodeship",A,1:35,2023-12-14,data\processed_wav\883759.wav
818952,Greater White-fronted Goose,Anser albifrons,Poland,"Gmina Rydzyna (near  Tarnowa Łąka), Leszno County, Greater Poland Voivodeship",A,0:12,2022-03-06,data\processed_wav\818952.wav
601289,Greater White-fronted Goose,Anser albifrons,Poland,"Akcja Siemianowka Bird Ringing Station (near Siemianowka), Podlaskie Voivodeship",A,0:10,2020-10-31,data\processed_wav\601289.wav
536036,Greater White-fronted Goose,Anser albifrons,Poland,Leoncin,A,1:13,2020-03-18,data\processed_wav\536036.wav
524293,Greater White-fronted Goose,Anser albifrons,Poland,"Otmuchow, Silesia",A,1:13,2019-10-25,data\processed_wav\524293.wav
524221,Greater White-fronted Goose,Anser albifrons,Poland,"Gmina Przemków (near  Przemków), polkowicki, Województwo dolnośląskie",A,0:21,2019-12-22,data\processed_wav\524221.wav
236311,Greater White-fronted Goose,Anser albifrons,Poland,"Januszkowice, wrocławski, Województwo dolnośląskie",A,1:46,2015-03-07,data\processed_wav\236311.wav
1052458,Mute Swan,Cygnus olor,Poland,"Gmina Przemków (near  Przemków), polkowicki, Dolnośląskie",A,0:35,2025-11-01,data\processed_wav\1052458.wav
701001,Mute Swan,Cygnus olor,Poland,"Akcja Siemianowka Bird Ringing Station (near Siemianowka), Podlaskie Voivodeship",A,1:10,2021-09-27,data\processed_wav\701001.wav
621617,Mute Swan,Cygnus olor,Poland,"Tychy, Tychy, Śląskie",A,0:12,2021-02-14,data\processed_wav\621617.wav
621614,Mute Swan,Cygnus olor,Poland,"Tychy, Tychy, Śląskie",A,0:23,2021-02-14,data\processed_wav\621614.wav
588684,Mute Swan,Cygnus olor,Poland,Poland,A,0:54,2020-09-10,data\processed_wav\588684.wav
549767,Mute Swan,Cygnus olor,Poland,Masovian Voivodeship,A,0:14,2020-04-23,data\processed_wav\549767.wav
534054,Mute Swan,Cygnus olor,Poland,"Tychy Hetmańska (near  Tychy), Tychy, śląskie",A,0:12,2020-03-11,data\processed_wav\534054.wav
527486,Mute Swan,Cygnus olor,Poland,"Zegrze Reservoir, legionowski, mazowieckie",A,1:01,2020-02-12,data\processed_wav\527486.wav
475526,Mute Swan,Cygnus olor,Poland,"Tychy, Tychy, śląskie",A,0:11,2019-05-19,data\processed_wav\475526.wav
436965,Mute Swan,Cygnus olor,Poland,"Połchowo, pucki, pomorskie",A,1:00,2015-09-06,data\processed_wav\436965.wav
434341,Mute Swan,Cygnus olor,Poland,"Gmina Iłowo-Osada, Działdowo County, Warmian-Masurian Voivodeship",A,0:27,2018-09-15,data\processed_wav\434341.wav
390092,Mute Swan,Cygnus olor,Poland,"Działdowo, działdowski, warmińsko-mazurskie",A,0:49,2017-10-14,data\processed_wav\390092.wav
305647,Mute Swan,Cygnus olor,Poland,"Gmina Pokrzywnica (near  Burlaki), pułtuski, mazowieckie",A,0:12,2016-03-05,data\processed_wav\305647.wav
115060,Mute Swan,Cygnus olor,Poland,"Middle Vistula, Tarchomin, Warsaw",A,2:50,2012-12-20,data\processed_wav\115060.wav
113966,Mute Swan,Cygnus olor,Poland,"Konstancin-Jeziorna, Piaseczno County, Mazowieckie",A,0:10,2012-12-02,data\processed_wav\113966.wav
42531,Mute Swan,Cygnus olor,Poland,"Middle Vistula, Tarchomin, Warsaw",A,0:42,2010-01-09,data\processed_wav\42531.wav
42530,Mute Swan,Cygnus olor,Poland,"Middle Vistula, Tarchomin, Warsaw",A,0:43,2010-01-09,data\processed_wav\42530.wav
42528,Mute Swan,Cygnus olor,Poland,"Middle Vistula, Tarchomin, Warsaw",A,0:13,2009-12-20,data\processed_wav\42528.wav
819947,Tundra Swan,Cygnus columbianus,Poland,"Gmina Góra (near  Nowa Wioska), Góra County, Lower Silesian Voivodeship",A,0:43,2023-01-22,data\processed_wav\819947.wav
819941,Tundra Swan,Cygnus columbianus,Poland,"Gmina Góra (near  Nowa Wioska), Góra County, Lower Silesian Voivodeship",A,0:10,2023-01-22,data\processed_wav\819941.wav
609165,Tundra Swan,Cygnus columbianus,Poland,"Gmina Pokrzywnica (near  Burlaki), pułtuski, mazowieckie",A,0:26,2020-02-09,data\processed_wav\609165.wav
217363,Tundra Swan,Cygnus columbianus,Poland,"Gmina Bielawy (near  Bielawy), łowicki, województwo łódzkie",A,0:38,2015-03-15,data\processed_wav\217363.wav
215843,Tundra Swan,Cygnus columbianus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,2:32,2015-03-07,data\processed_wav\215843.wav
128225,Tundra Swan,Cygnus columbianus,Poland,"Dąbrówka (near  Kuligów), Wołomin County, Masovian Voivodeship",A,4:02,2013-04-01,data\processed_wav\128225.wav
102852,Tundra Swan,Cygnus columbianus,Poland,Modlin - Estuary of Narew and Wkra Rivers,A,1:15,2011-03-12,data\processed_wav\102852.wav
102851,Tundra Swan,Cygnus columbianus,Poland,Modlin - Estuary of Narew and Wkra Rivers,A,2:15,2011-03-12,data\processed_wav\102851.wav
102850,Tundra Swan,Cygnus columbianus,Poland,Modlin - Estuary of Narew and Wkra Rivers,A,0:47,2011-03-12,data\processed_wav\102850.wav
900238,Whooper Swan,Cygnus cygnus,Poland,"Pietkowo, Podlaskie Voivodeship",A,0:17,2024-05-03,data\processed_wav\900238.wav
879355,Whooper Swan,Cygnus cygnus,Poland,"Gmina Kikół (near  Wolęcin), Powiat lipnowski, Kujawsko-Pomorskie",A,1:19,2024-02-14,data\processed_wav\879355.wav
879354,Whooper Swan,Cygnus cygnus,Poland,"Gmina Kikół (near  Wolęcin), Powiat lipnowski, Kujawsko-Pomorskie",A,0:47,2024-02-14,data\processed_wav\879354.wav
870933,Whooper Swan,Cygnus cygnus,Poland,"rez. Wielki Bytyń, Gmina Tuczno (near  Nakielno), Wałcz County, West Pomeranian Voivodeship",A,2:30,2024-01-18,data\processed_wav\870933.wav
844501,Whooper Swan,Cygnus cygnus,Poland,"Gmina Jastrowie (near  Nadarzyce), Złotów County, Greater Poland Voivodeship",A,3:05,2023-03-02,data\processed_wav\844501.wav
819006,Whooper Swan,Cygnus cygnus,Poland,"Gmina Rydzyna (near  Tarnowa Łąka), Leszno County, Greater Poland Voivodeship",A,1:02,2022-03-06,data\processed_wav\819006.wav
819005,Whooper Swan,Cygnus cygnus,Poland,"Gmina Rydzyna (near  Tarnowa Łąka), Leszno County, Greater Poland Voivodeship",A,1:20,2022-03-06,data\processed_wav\819005.wav
819004,Whooper Swan,Cygnus cygnus,Poland,"Gmina Rydzyna (near  Tarnowa Łąka), Leszno County, Greater Poland Voivodeship",A,5:33,2022-03-06,data\processed_wav\819004.wav
818949,Whooper Swan,Cygnus cygnus,Poland,"Gmina Rydzyna (near  Tarnowa Łąka), Leszno County, Greater Poland Voivodeship",A,0:30,2022-02-26,data\processed_wav\818949.wav
818948,Whooper Swan,Cygnus cygnus,Poland,"Gmina Rydzyna (near  Tarnowa Łąka), Leszno County, Greater Poland Voivodeship",A,0:29,2022-02-26,data\processed_wav\818948.wav
800964,Whooper Swan,Cygnus cygnus,Poland,"SPA Puszcza nad Gwdą, Gmina Jastrowie (near  Nadarzyce), Złotów County, Greater Poland Voivodeship",A,1:55,2022-04-11,data\processed_wav\800964.wav
637522,Whooper Swan,Cygnus cygnus,Poland,"Pietkowo, Podlaskie Voivodeship",A,1:04,2021-04-09,data\processed_wav\637522.wav
549274,Whooper Swan,Cygnus cygnus,Poland,"Chociwel, Powiat stargardzki, Województwo zachodniopomorskie",A,0:35,2020-04-11,data\processed_wav\549274.wav
549273,Whooper Swan,Cygnus cygnus,Poland,"Chociwel, Powiat stargardzki, Województwo zachodniopomorskie",A,0:30,2020-04-11,data\processed_wav\549273.wav
533784,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,0:38,2020-03-07,data\processed_wav\533784.wav
526105,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,0:51,2020-02-09,data\processed_wav\526105.wav
361680,Whooper Swan,Cygnus cygnus,Poland,"Gmina Milicz (near  Dyminy), milicki, Województwo dolnośląskie",A,2:00,2017-03-15,data\processed_wav\361680.wav
245951,Whooper Swan,Cygnus cygnus,Poland,"Gmina Knyszyn (near  Knyszyn-Zamek), moniecki, podlaskie",A,0:48,2015-05-20,data\processed_wav\245951.wav
234110,Whooper Swan,Cygnus cygnus,Poland,"Dojlidy Ponds, Białystok, Podlaskie Voivodeship",A,0:14,2015-04-03,data\processed_wav\234110.wav
215844,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,1:06,2015-03-07,data\processed_wav\215844.wav
215142,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,2:00,2015-02-28,data\processed_wav\215142.wav
215141,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,0:56,2015-02-28,data\processed_wav\215141.wav
215060,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,6:27,2015-02-28,data\processed_wav\215060.wav
214435,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,1:02,2014-02-22,data\processed_wav\214435.wav
214430,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,4:02,2014-02-22,data\processed_wav\214430.wav
214281,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,0:28,2014-02-21,data\processed_wav\214281.wav
214277,Whooper Swan,Cygnus cygnus,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,0:56,2014-02-21,data\processed_wav\214277.wav
202257,Whooper Swan,Cygnus cygnus,Poland,Zatoka Gdańska,A,1:55,2014-11-11,data\processed_wav\202257.wav
167866,Whooper Swan,Cygnus cygnus,Poland,"Noteć River Valley (near Nowy Dwór), Wielkopolskie Voivodeship",A,0:46,2014-02-22,data\processed_wav\167866.wav
128383,Whooper Swan,Cygnus cygnus,Poland,Popowo Koscielne,A,1:04,2013-04-01,data\processed_wav\128383.wav
128380,Whooper Swan,Cygnus cygnus,Poland,Popowo Koscielne,A,0:18,2013-04-01,data\processed_wav\128380.wav
102841,Whooper Swan,Cygnus cygnus,Poland,Nadrybie Lake after landslides in the mine called Baltic,A,0:33,2012-02-04,data\processed_wav\102841.wav
102839,Whooper Swan,Cygnus cygnus,Poland,Modlin - Estuary of Narew and Wkra Rivers,A,2:42,2011-03-12,data\processed_wav\102839.wav
928270,Egyptian Goose,Alopochen aegyptiaca,Poland,"Gmina Podgórzyn (near  Jelenia Góra), Jelenia Góra, Lower Silesian Voivodeship",A,0:15,2024-08-14,data\processed_wav\928270.wav
773434,Egyptian Goose,Alopochen aegyptiaca,Poland,"Pilce, Ząbkowice Śląskie County, Lower Silesian Voivodeship",A,0:15,2022-07-23,data\processed_wav\773434.wav
243593,Ruddy Shelduck,Tadorna ferruginea,Poland,"Gmina Bielawy (near  Bielawy), łowicki, województwo łódzkie",A,0:10,2015-05-16,data\processed_wav\243593.wav
94641,Wood Duck,Aix sponsa,Poland,Port Żerański,A,0:57,2011-02-06,data\processed_wav\94641.wav
94640,Wood Duck,Aix sponsa,Poland,Łacha Potocka,A,0:26,2011-01-11,data\processed_wav\94640.wav
94639,Wood Duck,Aix sponsa,Poland,Łacha Potocka,A,1:15,2011-01-11,data\processed_wav\94639.wav
881262,Mandarin Duck,Aix galericulata,Poland,"Dziki Park Angielski na Gocławiu (near  Warszawa), Warszawa, Mazowieckie",A,0:36,2024-03-13,data\processed_wav\881262.wav
466835,Mandarin Duck,Aix galericulata,Poland,"Park Północny (near  Tychy), Tychy, śląskie",A,0:13,2019-04-15,data\processed_wav\466835.wav
406343,Mandarin Duck,Aix galericulata,Poland,"Warszawa, Warszawa, mazowieckie",A,0:35,2018-03-17,data\processed_wav\406343.wav
406340,Mandarin Duck,Aix galericulata,Poland,"Warszawa, Warszawa, mazowieckie",A,0:11,2018-03-17,data\processed_wav\406340.wav
390001,Mandarin Duck,Aix galericulata,Poland,"Warszawa, Warszawa, mazowieckie",A,0:10,2017-10-15,data\processed_wav\390001.wav
389999,Mandarin Duck,Aix galericulata,Poland,"Warszawa, Warszawa, mazowieckie",A,0:16,2017-10-15,data\processed_wav\389999.wav
389998,Mandarin Duck,Aix galericulata,Poland,"Warszawa, Warszawa, mazowieckie",A,0:13,2017-10-15,data\processed_wav\389998.wav
118326,Mandarin Duck,Aix galericulata,Poland,"Warszawa (near  Warsaw), Warszawa, Mazowieckie",A,1:47,2013-01-05,data\processed_wav\118326.wav
118325,Mandarin Duck,Aix galericulata,Poland,"Warszawa (near  Warsaw), Warszawa, Mazowieckie",A,1:16,2013-01-05,data\processed_wav\118325.wav
118324,Mandarin Duck,Aix galericulata,Poland,"Warszawa (near  Warsaw), Warszawa, Mazowieckie",A,2:42,2013-01-05,data\processed_wav\118324.wav
116225,Mandarin Duck,Aix galericulata,Poland,"Warszawa (near  Warsaw), Warszawa, Mazowieckie",A,2:25,2013-01-01,data\processed_wav\116225.wav
925169,Garganey,Spatula querquedula,Poland,"Gmina Rydzyna (near  Dąbcze), Leszno County, Greater Poland Voivodeship",A,1:22,2021-08-19,data\processed_wav\925169.wav
734031,Garganey,Spatula querquedula,Poland,"Spytkowice, pow.wadowicki, woj.małopolskie",A,0:22,2022-04-23,data\processed_wav\734031.wav
711716,Garganey,Spatula querquedula,Poland,"Spytkowice, pow.wadowicki, woj.małopolskie",A,0:11,2022-03-28,data\processed_wav\711716.wav
219387,Garganey,Spatula querquedula,Poland,"Gmina Puchaczów (near  Nadrybie-Wieś), łęczyński, lubelskie",A,3:15,2015-03-21,data\processed_wav\219387.wav
190732,Garganey,Spatula querquedula,Poland,"Nowy Złaków, Łowicz County, Łódź Voivodeship",A,0:10,2014-04-13,data\processed_wav\190732.wav
131152,Garganey,Spatula querquedula,Poland,"Pomiechówek (near  Pomiechowo), Nowy Dwór Mazowiecki County, Masovian Voivodeship",A,2:46,2013-04-22,data\processed_wav\131152.wav
103464,Garganey,Spatula querquedula,Poland,"Bronisławka, near Stary Modlin, Poland",A,0:30,2012-04-22,data\processed_wav\103464.wav
644507,Northern Shoveler,Spatula clypeata,Poland,"powiat grodziski, Mazowieckie",A,0:24,2021-04-27,data\processed_wav\644507.wav
644500,Northern Shoveler,Spatula clypeata,Poland,"powiat grodziski, Mazowieckie",A,0:13,2021-04-27,data\processed_wav\644500.wav
246540,Northern Shoveler,Spatula clypeata,Poland,"Ławki Swamp, Biebrza National Park, Podlaskie Voivodeship",A,0:12,2015-05-24,data\processed_wav\246540.wav
190728,Northern Shoveler,Spatula clypeata,Poland,"Nowy Złaków, Łowicz County, Łódź Voivodeship",A,0:13,2014-04-13,data\processed_wav\190728.wav
554114,Gadwall,Mareca strepera,Poland,"Gmina Urszulin, Powiat włodawski, lubelskie",A,1:27,2020-05-01,data\processed_wav\554114.wav
554109,Gadwall,Mareca strepera,Poland,"Gmina Urszulin, Powiat włodawski, lubelskie",A,0:13,2020-05-01,data\processed_wav\554109.wav
209951,Gadwall,Mareca strepera,Poland,"Pruszków, pruszkowski, mazowieckie",A,0:27,2015-01-10,data\processed_wav\209951.wav
198954,Gadwall,Mareca strepera,Poland,"Gdańsk, Gdańsk, Pomeranian Voivodeship",A,0:14,2014-10-04,data\processed_wav\198954.wav
198953,Gadwall,Mareca strepera,Poland,"Gdańsk, Gdańsk, Pomeranian Voivodeship",A,0:31,2014-10-04,data\processed_wav\198953.wav
536039,Eurasian Wigeon,Mareca penelope,Poland,Leoncin,A,0:11,2020-03-18,data\processed_wav\536039.wav
113188,Eurasian Wigeon,Mareca penelope,Poland,Modlin - Estuary of Narew and Wkra Rivers,A,1:49,2011-03-12,data\processed_wav\113188.wav
113187,Eurasian Wigeon,Mareca penelope,Poland,Modlin - Estuary of Narew and Wkra Rivers,A,2:52,2011-03-12,data\processed_wav\113187.wav
805337,Mallard,Anas platyrhynchos,Poland,"Gmina Wyry (near  Gostyn), Mikołów County, Silesian Voivodeship",A,0:29,2023-05-29,data\processed_wav\805337.wav
718647,Mallard,Anas platyrhynchos,Poland,"Gmina Podegrodzie (near  Podegrodzie), nowosądecki, Lesser Poland Voivodeship",A,0:10,2022-04-24,data\processed_wav\718647.wav
634248,Mallard,Anas platyrhynchos,Poland,"Chorzów, Chorzów, Śląskie",A,0:41,2021-03-30,data\processed_wav\634248.wav
618581,Mallard,Anas platyrhynchos,Poland,"Gmina Serock (near  Serock), Powiat legionowski, Mazowieckie",A,0:34,2021-01-30,data\processed_wav\618581.wav
598281,Mallard,Anas platyrhynchos,Poland,"Miszkowice (near  Bukówka), Kamienna Góra County, Lower Silesian Voivodeship",A,0:11,2020-10-10,data\processed_wav\598281.wav
541824,Mallard,Anas platyrhynchos,Poland,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",A,0:12,2020-04-03,data\processed_wav\541824.wav
541823,Mallard,Anas platyrhynchos,Poland,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",A,0:13,2020-04-03,data\processed_wav\541823.wav
541822,Mallard,Anas platyrhynchos,Poland,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",A,0:10,2020-04-03,data\processed_wav\541822.wav
541821,Mallard,Anas platyrhynchos,Poland,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",A,0:20,2020-04-03,data\processed_wav\541821.wav
541812,Mallard,Anas platyrhynchos,Poland,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",A,0:13,2020-04-03,data\processed_wav\541812.wav
512909,Mallard,Anas platyrhynchos,Poland,"Stokrotki 02 (near  Nieporęt), Powiat legionowski, mazowieckie",A,0:12,2019-12-21,data\processed_wav\512909.wav
462593,Mallard,Anas platyrhynchos,Poland,"Gmina Hańsk (near  Wojciechów), włodawski, lubelskie",A,0:11,2019-03-20,data\processed_wav\462593.wav
304006,Mallard,Anas platyrhynchos,Poland,"Gmina Piecki (near  Krutyń), mrągowski, warmińsko-mazurskie",A,0:33,2016-02-15,data\processed_wav\304006.wav
303989,Mallard,Anas platyrhynchos,Poland,"Gmina Piecki (near  Krutyń), mrągowski, warmińsko-mazurskie",A,0:12,2016-02-15,data\processed_wav\303989.wav
252166,Mallard,Anas platyrhynchos,Poland,"Gmina Chorzele (near  Raszujka), przasnyski, mazowieckie",A,1:17,2015-06-09,data\processed_wav\252166.wav
252165,Mallard,Anas platyrhynchos,Poland,"Gmina Chorzele (near  Raszujka), przasnyski, mazowieckie",A,0:57,2015-06-09,data\processed_wav\252165.wav
169506,Mallard,Anas platyrhynchos,Poland,"Gmina Iłowo-Osada (near Iłowo-Osada), Działdowo County, Warmian-Masurian Voivodeship",A,1:12,2014-03-09,data\processed_wav\169506.wav
152640,Mallard,Anas platyrhynchos,Poland,"Gmina Konstancin-Jeziorna (near  Gassy), Piaseczno County, Masovian Voivodeship",A,0:12,2013-10-19,data\processed_wav\152640.wav
127375,Mallard,Anas platyrhynchos,Poland,"Warszawa (near  Warsaw), Warszawa, Masovian Voivodeship",A,0:51,2013-03-26,data\processed_wav\127375.wav
113968,Mallard,Anas platyrhynchos,Poland,"Konstancin-Jeziorna, Piaseczno County, Mazowieckie",A,0:44,2012-12-02,data\processed_wav\113968.wav
